origin_location;destination_location;coor_y;coor_x;distance_in_km;vehicle_type;tripfare
KOTA BANDUNG;JOMBANG;-7.551164966;112.2351081;624;Pickup;2089900
KOTA BANDUNG;JOMBANG;-7.551164966;112.2351081;624;Engkel Box;2723900
KOTA BANDUNG;JOMBANG;-7.551164966;112.2351081;624;Fuso Bak;5305000
KOTA BANDUNG;JOMBANG;-7.551164966;112.2351081;624;Tronton Box;5883800
KOTA BANDUNG;JOMBANG;-7.551164966;112.2351081;624;Tronton Wing Box;5883800
KOTA BANDUNG;JOMBANG;-7.551164966;112.2351081;624;Engkel Pickup;2575400
KOTA BANDUNG;JOMBANG;-7.551164966;112.2351081;624;Double Engkel Box;3005736
KOTA BANDUNG;JOMBANG;-7.551164966;112.2351081;624;Tronton Bak;5883800
KOTA BANDUNG;JOMBANG;-7.551164966;112.2351081;624;Tronton Bak;5883800
KOTA BANDUNG;KAB BOGOR;-6.5518;106.6291;122;Ekonomi;740000
KOTA BANDUNG;KAB BOGOR;-6.5518;106.6291;122;MPV;765000
KOTA BANDUNG;KAB BOGOR;-6.5518;106.6291;122;Van;900000
KOTA BANDUNG;KAB BOGOR;-6.5518;106.6291;122;Double Engkel Pickup;1400000
KOTA BANDUNG;KAB BOGOR;-6.5518;106.6291;122;CDD Long;1942500
KOTA BANDUNG;KAB BOGOR;-6.5518;106.6291;122;Fuso Box;2289000
KOTA BANDUNG;KAB BOGOR;-6.5518;106.6291;122;Small Box;1000000
KOTA BANDUNG;KAB BOGOR;-6.5518;106.6291;122;Pickup;900000
KOTA BANDUNG;KAB BOGOR;-6.5518;106.6291;122;Engkel Box;1150000
KOTA BANDUNG;KAB BOGOR;-6.5518;106.6291;122;Fuso Bak;2289000
KOTA BANDUNG;KAB BOGOR;-6.5518;106.6291;122;Tronton Box;3000000
KOTA BANDUNG;KAB BOGOR;-6.5518;106.6291;122;Tronton Wing Box;3000000
KOTA BANDUNG;KAB BOGOR;-6.5518;106.6291;122;Engkel Pickup;1207500
KOTA BANDUNG;KAB BOGOR;-6.5518;106.6291;122;Double Engkel Box;1400000
KOTA BANDUNG;KAB BOGOR;-6.5518;106.6291;122;Tronton Bak;3000000
