origin_location;destination_location;vehicle_type;distance_in_km;tripfare
KOTA BANDUNG;KAB. BEKASI;Fuso Bak;125;2289000
KOTA BANDUNG;KAB. BEKASI;Tronton Box;125;3000000
KOTA BANDUNG;KAB. BEKASI;Tronton Wing Box;125;3000000
KOTA BANDUNG;KAB. BEKASI;Engkel Pickup;125;1207500
KOTA BANDUNG;KAB. BEKASI;Double Engkel Box;125;1400000
KOTA BANDUNG;KAB. BEKASI;Tronton Bak;125;3000000
KOTA BANDUNG;KAB. BEKASI;Tronton Bak;125;3000000
KOTA BANDUNG;KAB. PURWAKARTA;Ekonomi;68;284800
KOTA BANDUNG;KAB. PURWAKARTA;MPV;68;294800
KOTA BANDUNG;KAB. PURWAKARTA;Van;68;343040
KOTA BANDUNG;KAB. PURWAKARTA;Double Engkel Pickup;68;839000
KOTA BANDUNG;KAB. PURWAKARTA;CDD Long;68;1158000
KOTA BANDUNG;KAB. PURWAKARTA;Fuso Box;68;1706600
KOTA BANDUNG;KAB. PURWAKARTA;Small Box;68;382900
KOTA BANDUNG;KAB. PURWAKARTA;Pickup;68;364660
KOTA BANDUNG;KAB. PURWAKARTA;Engkel Box;68;574100
KOTA BANDUNG;KAB. PURWAKARTA;Fuso Bak;68;1706600
KOTA BANDUNG;KAB. PURWAKARTA;Tronton Box;68;2040600
KOTA BANDUNG;KAB. PURWAKARTA;Tronton Wing Box;68;2040600
KOTA BANDUNG;KAB. PURWAKARTA;Engkel Pickup;68;659000
KOTA BANDUNG;KAB. PURWAKARTA;Double Engkel Box;68;839000
KOTA BANDUNG;KAB. PURWAKARTA;Tronton Bak;68;2040600
KOTA BANDUNG;KAB. PURWAKARTA;Tronton Bak;68;2040600
KOTA BANDUNG;KAB. SUKABUMI;Ekonomi;98;510640
KOTA BANDUNG;KAB. SUKABUMI;MPV;98;520640
KOTA BANDUNG;KAB. SUKABUMI;Van;98;576440
KOTA BANDUNG;KAB. SUKABUMI;Double Engkel Pickup;98;1184000
KOTA BANDUNG;KAB. SUKABUMI;CDD Long;98;1338000
KOTA BANDUNG;KAB. SUKABUMI;Fuso Box;98;2207600
KOTA BANDUNG;KAB. SUKABUMI;Small Box;98;624400
KOTA BANDUNG;KAB. SUKABUMI;Pickup;98;600760
KOTA BANDUNG;KAB. SUKABUMI;Engkel Box;98;842600
KOTA BANDUNG;KAB. SUKABUMI;Fuso Bak;98;1967600
KOTA BANDUNG;KAB. SUKABUMI;Tronton Box;98;2556600
KOTA BANDUNG;KAB. SUKABUMI;Tronton Wing Box;98;2556600
KOTA BANDUNG;KAB. SUKABUMI;Engkel Pickup;98;944000
KOTA BANDUNG;KAB. SUKABUMI;Double Engkel Box;98;1184000
KOTA BANDUNG;KAB. SUKABUMI;Tronton Bak;98;2316600
KOTA BANDUNG;KAB. SUKABUMI;Tronton Bak;98;2316600
KOTA BANDUNG;KAB. TANGERANG;Ekonomi;196;711040
KOTA BANDUNG;KAB. TANGERANG;MPV;196;721040
KOTA BANDUNG;KAB. TANGERANG;Van;196;793952
KOTA BANDUNG;KAB. TANGERANG;Double Engkel Pickup;196;1437400
